Name,Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)",Color Group
Gainsboro,#dcdcdc,220,220,220,0.0,0.0,86.3,Abu-Abu
Gamboge,#e49b0f,228,155,15,39.4,87.7,47.6,Merah Sedang
Ghost White,#f8f8ff,248,248,255,240.0,100.0,98.6,Putih
Ginger,#b06500,176,101,0,34.4,100.0,34.5,Merah Sedang
Glaucous,#6082b6,96,130,182,216.3,37.1,54.5,Cyan Sedang
Glitter,#e6e8fa,230,232,250,234.0,66.7,94.1,Putih
Gold (Metallic),#d4af37,212,175,55,45.9,64.6,52.4,Oranye Sedang
Gold (Web) (Golden),#ffd700,255,215,0,50.6,100.0,50.0,Oranye Muda
Golden Brown,#996515,153,101,21,36.4,75.9,34.1,Oranye Sedang
Golden Poppy,#fcc200,252,194,0,46.2,100.0,49.4,Oranye Sedang
Golden Yellow,#ffdf00,255,223,0,52.5,100.0,50.0,Oranye Muda
Goldenrod,#daa520,218,165,32,42.9,74.4,49.0,Oranye Sedang
Granny Smith Apple,#a8e4a0,168,228,160,112.9,55.7,76.1,Hijau Muda
Gray,#808080,128,128,128,0.0,0.0,50.2,Abu-Abu
Gray-Asparagus,#465945,70,89,69,117.0,12.7,31.0,Kuning Gelap
Gray (Html/Css Gray),#808080,128,128,128,0.0,0.0,50.2,Abu-Abu
Gray (X11 Gray),#bebebe,190,190,190,0.0,0.0,74.5,Abu-Abu
Green (Color Wheel) (X11 Green),#0f0,0,255,0,120.0,100.0,50.0,Hijau Sedang
Green (Crayola),#1cac78,28,172,120,158.3,72.0,39.2,Cyan Sedang
Green (Html/Css Green),#008000,0,128,0,120.0,100.0,25.1,Hijau Gelap
Green (Munsell),#00a877,0,168,119,162.5,100.0,32.9,Cyan Sedang
Green (Ncs),#009f6b,0,159,107,160.4,100.0,31.2,Cyan Sedang
Green (Pigment),#00a550,0,165,80,149.1,100.0,32.4,Hijau Sedang
Green (Ryb),#66b032,102,176,50,95.2,55.8,44.3,Hijau Sedang
Green-Yellow,#adff2f,173,255,47,83.7,100.0,59.2,Hijau Muda
Grullo,#a99a86,169,154,134,34.3,16.9,59.4,Oranye Muda
Guppie Green,#00ff7f,0,255,127,149.9,100.0,50.0,Cyan Sedang
Halayà úBe,#663854,102,56,84,323.5,29.1,31.0,Merah Sedang
Han Blue,#446ccf,68,108,207,222.7,59.1,53.9,Cyan Sedang
Han Purple,#5218fa,82,24,250,255.4,95.8,53.7,Biru Sedang
Hansa Yellow,#e9d66b,233,214,107,51.0,74.1,66.7,Oranye Muda
Harlequin,#3fff00,63,255,0,105.2,100.0,50.0,Hijau Sedang
Harvard Crimson,#c90016,201,0,22,353.4,100.0,39.4,Merah Gelap
Harvest Gold,#da9100,218,145,0,39.9,100.0,42.7,Merah Sedang
Heart Gold,#808000,128,128,0,60.0,100.0,25.1,Oranye Sedang
Heliotrope,#df73ff,223,115,255,286.3,100.0,72.5,Ungu Muda
Hollywood Cerise,#f400a1,244,0,161,320.4,100.0,47.8,Magenta Sedang
Honeydew,#f0fff0,240,255,240,120.0,100.0,97.1,Putih
Honolulu Blue,#007fbf,0,127,191,200.1,100.0,37.5,Cyan Sedang
Hooker'S Green,#49796b,73,121,107,162.5,24.7,38.0,Cyan Sedang
Hot Magenta,#ff1dce,255,29,206,313.0,100.0,55.7,Magenta Muda
Hot Pink,#ff69b4,255,105,180,330.0,100.0,70.6,Magenta Muda
Hunter Green,#355e3b,53,94,59,128.8,27.9,28.8,Hijau Gelap
Iceberg,#71a6d2,113,166,210,207.2,51.9,63.3,Cyan Muda
Icterine,#fcf75e,252,247,94,58.1,96.3,67.8,Oranye Muda
Imperial Blue,#002395,0,35,149,225.9,100.0,29.2,Biru Gelap
Inchworm,#b2ec5d,178,236,93,84.3,79.0,64.5,Kuning Muda
India Green,#138808,19,136,8,114.8,88.9,28.2,Hijau Gelap
Indian Red,#cd5c5c,205,92,92,0.0,53.1,58.2,Merah Sedang
